vnsc-pri.sys.gtei.net 4.2.2.1
vnsc-bak.sys.gtei.net 4.2.2.2
vnsc-lc.sys.gtei.net 4.2.2.3
vnsc-pri-dsl.genuity.net 4.2.2.4
vnsc-bak-dsl.genuity.net 4.2.2.5
vnsc-lc-dsl.genuity.net 4.2.2.6
google-public-dns-b.google.com 8.8.4.4
google-public-dns-a.google.com 8.8.8.8
indnsc70.bt.net 62.6.40.162
dnscache1.jazzvisp.com. 62.14.4.64
dnscache2.jazzvisp.com. 62.14.4.65
145.63.14.62.static.jazztel.es. 62.14.63.145
vcsf1.orange.es. 62.36.225.150
dns.comtenidos.com. 62.37.225.56
dns2.comtenidos.com. 62.37.225.57
dnscache2.wanadoo.es.,m2dnscache.net.uni2.es.,vcsf2.orange.es. 62.37.228.20
madr-dns1.red.retevision.es. 62.81.0.33
dns1.red.retevision.es. 62.81.16.129
mayor.red.ono.es. 62.81.61.2
62.81.0.35.static.user.ono.com. 62.81.0.35
dns.iddeo.es. 62.81.31.250
acceso.ya.com. 62.151.4.21
dns.ya.com. 62.151.2.8
ns2.bs-ya.com. 62.151.20.6
dns.lax1.speakeasy.net 64.81.45.2
dns.sfo1.speakeasy.net 64.81.79.2
den.speakeasy.net 64.81.111.2
dns.dfw1.speakeasy.net 64.81.127.2
dns.chi1.speakeasy.net 64.81.159.2
ns2.cisco.com 64.102.255.44
dnvr-rdns-02.dnvr.twtelecom.net 64.129.67.101
dnvr-rdns-03.dnvr.twtelecom.net 64.129.67.102
dnvr-rdns-04.dnvr.twtelecom.net 64.129.67.103
dnvr-rdns-06.dnvr.twtelecom.net 64.129.67.105
bos.speakeasy.net 66.92.64.2
dns.wdc1.speakeasy.net 66.92.159.2
phl.speakeasy.net 66.92.224.2
dns.sea1.speakeasy.net 66.93.87.2
host-66-128-240-7.united.net 66.128.240.7
host-66-128-240-8.united.net 66.128.240.8
cache01.theplanet.com 67.19.0.10
cache02.theplanet.com 67.19.1.10
phil-dnssec-trial.inflow.pa.bo.comcast.net 68.87.64.154
atlt-dnssec-trial.s3woodstock.ga.atlanta.comcast.net 68.87.68.170
bvrt-dnssec-trial.beaverton.or.bverton.comcast.net 68.87.69.154
cache02.theplanet.com 69.56.222.10
xplr-72-45-111-250.xplornet.com 72.45.111.250
xplr-72-45-111-251.xplornet.com 72.45.111.251
xplr-72-45-127-250.xplornet.com 72.45.127.250
xplr-72-45-127-251.xplornet.com 72.45.127.251
cdns01.comcast.net 75.75.75.75
cdns02.comcast.net 75.75.76.76
97.red-80-58-32.staticip.rima-tde.net. 80.58.32.97
33.red-80-58-0.staticip.rima-tde.net. 80.58.0.33
250.red-80-58-61.staticip.rima-tde.net. 80.58.61.250
254.red-80-58-61.staticip.rima-tde.net. 80.58.61.254
bzq-218-119-11.red.bezeqint.net 81.218.119.11
66.1.216.87.static.jazztel.es. 87.216.1.66
65.1.216.87.static.jazztel.es. 87.216.1.65
Censurfindns1 89.233.43.71
Censurfindns2 89.104.194.142
x.ns.gin.ntt.net 129.250.35.250
y.ns.gin.ntt.net 129.250.35.251
dns2.swip.net. 130.244.127.169
dns1.swip.net. 130.244.127.161
nsphil.bellatlantic.net 151.197.0.38
home4.bellatlantic.net 151.197.0.39
nyc1-qwest.bellatlantic.net 151.202.0.84
nyc2-qwest.bellatlantic.net 151.202.0.85
boston1-qwest.bellatlantic.net 151.203.0.84
boston2-qwest.bellatlantic.net 151.203.0.85
rdns1.ultradns.net 156.154.70.1
rdns2.ultradns.net 156.154.71.1
ns1.telefonica-data.com. 194.224.52.36
ns2.telefonica-data.com. 194.224.52.37
ns2.telefonica-data.com. 194.224.52.37
ns1.landsraad.net. 195.5.64.2
ns2.landsraad.net. 195.5.64.6
dns1.safedns.com 195.46.39.39
no_official_Internet_DNS_name 198.153.192.1
no_official_Internet_DNS_name 198.153.194.1
world1.bellatlantic.net 199.45.32.37
nsdc.bellatlantic.net 199.45.32.38
legacy-ns1.bellatlantic.net 199.45.32.40
home1.bellatlantic.net 199.45.32.43
Servidores_DNS 199.85.127.10
Telefónica-Argentina 200.51.211.7
cachewas.tdp.net.pe. 200.48.225.130
cachesis.tdp.net.pe. 200.48.225.146
per-qv1-dnsradius5.iinet.net.au 203.55.230.104
per-qv1-dnsradius6.iinet.net.au 203.55.230.105
syd-stl-cns1.iinet.net.au 203.215.3.43
ns3.sprintlink.net 204.97.212.10
no_official_Internet_DNS_name 204.194.232.200
no_official_Internet_DNS_name 204.194.234.200
cache1.dnsresolvers.com 205.210.42.205
bigguy.gte.net 206.124.64.1
ns.above.net 207.126.96.162
resolver2.opendns.com 208.67.220.220
resolver1.opendns.com 208.67.222.222
SmartViper1 208.76.50.50
SmartViper2 208.76.51.51
209-88-198-133.bb.netvision.net.il 209.88.198.133
madcdc06d1.vodafone.es.,ns1.comunitel.net.,ns1.vodafone.es. 212.145.4.97
bcnmsc05d2.vodafone.es.,ns2.comunitel.net.,ns2.vodafone.es. 212.145.4.98
dns2.euskaltel.es. 212.55.8.133
dns.euskaltel.es. 212.55.8.132
dns1m11.airtel.es. 212.73.32.3
dns2b11.airtel.es. 212.73.32.67
ns3.vodafone.es. 212.145.159.141
ns1.ibercom.com. 213.195.64.64
dns.atl1.speakeasy.net 216.27.175.2
Dyn_Internet_Guide1 216.146.35.35
Dyn_Internet_Guide2 216.146.36.36
cache01.theplanet.com 216.185.111.10
